favorite_count,retweet_count,tweet_id
37986,8302,892420643555336193
32620,6134,892177421306343426
24551,4059,891815181378084864
41329,8445,891689557279858688
39509,9148,891327558926688256
19851,3044,891087950875897856
11597,2015,890971913173991426
64077,18415,890729181411237888
27262,4178,890609185150312448
31284,7205,890240255349198849
30070,7162,890006608113172480
27264,4860,889880896479866881
47170,9804,889665388333682689
26618,4422,889638837579907072
14815,2194,889531135344209921
24756,5244,889278841981685760
28544,4399,888917238123831296
25063,4186,888804989199671297
19437,3465,888554962724278272
21329,3411,888078434458587136
29581,5268,887705289381826560
45372,11413,887517139158093824
67667,17748,887473957103951883
33023,10164,887343217045368832
29979,5825,887101392804085760
34455,7591,886983233522544640
11825,3205,886736880519319552
21997,4358,886680336477933568
20784,3129,886366144734445568
116,4,886267009285017600
27459,6142,886258384151887873
0,105,886054160059072513
32013,6619,885984800019947520
35293,6280,885528943205470208
20031,3674,885518971528720385
0,18132,885311592912609280
21495,4286,885167619883638784
75917,17845,884925521741709313
27380,5479,884876753390489601
23824,4583,884562892145688576
26472,5529,884441805382717440
71588,20041,884247878851493888
19957,2920,884162670584377345
21478,3373,883838122936631299
45031,9709,883482846933004288
22250,3618,883360690899218434
36440,6517,883117836046086144
23491,3836,882992080364220416
27754,4802,882762694511734784
27398,5943,882627270321602560
44071,11341,882268110199369728
28796,4856,882045870035918850
23843,3316,881906580714921986
49612,10436,881666595344535552
124,7,881633300179243008
48477,15603,881536004380872706
22647,5067,881268444196462592
16690,2724,880935762899988482
20859,3738,880872448815771648
27979,6140,880465832366813184
26525,4123,880221127280381952
27102,4258,880095782870896641
21913,3422,879862464715927552
305,10,879674319642796034
22986,3112,879492040517615616
103845,43347,879415818425184262
16472,3050,879376492567855104
0,6685,879130579576475649
22114,4619,879050749262655488
18624,2642,879008229531029506
19044,4047,878776093423087618
29690,7058,878604707211726852
0,1264,878404777348136964
0,6521,878316110768087041
7596,1264,878281511006478336
41249,6685,878057613040115712
78290,18711,877736472329191424
0,79,877611172832227328
22318,3735,877556246731214848
26895,5084,877316821321428993
26639,5478,877201837425926144
20323,3274,876838120628539392
23104,4558,876537666061221889
18429,2355,876484053909872640
27429,4599,876120275196170240
24758,4218,875747767867523072
21555,4842,875144289856114688
26944,5949,875097192612077568
25032,4640,875021211251597312
27348,4561,874680097055178752
0,14474,874434818259525634
25622,4035,874296783580663808
22297,3898,874057562936811520
34010,10243,874012996292530176
23819,3883,873580283840344065
0,1564,873337748698140672
7117,1564,873213775632977920
26930,5341,872967104147763200
14493,3642,872820683541237760
20491,3643,872620804844003328
40084,8918,872486979161796608
33717,6248,872261713294495745
33934,8032,872122724285648897
37417,11038,871879754684805121
19998,3443,871762521631449091
19943,3425,871515927908634625
0,5652,871166179821445120
20669,5460,871102520638267392
22401,3783,871032628920680449
33226,6157,870804317367881728
119,3,870726314365509632
12272,2625,870656317836468226
81817,26040,870374049280663552
21601,4127,870308999962521604
36278,8304,870063196459192321
41993,9976,869772420881756160
27962,6318,869702957897576449
15832,3124,869596645499047938
20272,3770,869227993411051520
65085,14435,868880397819494401
0,2097,868639477480148993
26544,5286,868622495443632128
10056,2097,868552278524837888
24035,4176,867900495410671616
33761,7339,867774946302451713
16020,2506,867421006826221569
0,121,867072653475098625
32070,7873,867051520902168576
19979,4819,866720684873056260
19245,3487,866686824827068416
121786,35367,866450705531457537
52358,14474,866334964761202691
0,8393,866094527597207552
25556,5641,865718153858494464
26410,5025,865359393868664832
27933,7724,865006731092295680
32244,8745,864873206498414592
14607,3052,864279568663928832
30136,8989,864197398364647424
20607,4170,863907417377173506
15303,4212,863553081350529029
0,2468,863471782782697472
23832,5293,863432100342583297
2268,97,863427515083354112
8777,1113,863079547188785154
8532,2468,863062471531167744
19187,5143,862831371563274240
17090,3558,862722525377298433
20575,5005,862457590147678208
74709,23538,862096992088072192
36199,10836,861383897657036800
17259,4204,861288531465048066
16765,3840,861005113778896900
0,2185,860981674716409858
0,835,860924035999428608
7543,2185,860563773140209665
23741,5356,860524505164394496
18390,3521,860276583193509888
16766,5935,860184849394610176
0,31337,860177593139703809
19654,4152,859924526012018688
15501,3564,859851578198683649
18708,1602,859607811541651456
90568,30716,859196978902773760
34094,13860,859074603037188101
0,8301,858860390427611136
15654,3541,858843525470990336
21685,4938,858471635011153920
15866,2970,858107933456039936
16277,2636,857989990357356544
34603,10864,857746408056729600
5967,1686,857393404942143489
20220,4619,857263160327368704
230,18,857214891891077121
0,176,857062103051644929
